num,square,cube,sin
0,0,0,0.0
1,1,1,0.06279051952931337
2,4,8,0.12533323356430426
3,9,27,0.18738131458572463
4,16,64,0.2486898871648548
5,25,125,0.3090169943749474
6,36,216,0.368124552684678
7,49,343,0.4257792915650727
8,64,512,0.4817536741017153
9,81,729,0.5358267949789967
10,100,1000,0.5877852522924731
11,121,1331,0.6374239897486897
12,144,1728,0.6845471059286887
13,169,2197,0.7289686274214116
14,196,2744,0.7705132427757893
15,225,3375,0.8090169943749475
16,256,4096,0.8443279255020151
17,289,4913,0.8763066800438637
18,324,5832,0.9048270524660196
19,361,6859,0.9297764858882515
20,400,8000,0.9510565162951535
21,441,9261,0.9685831611286311
22,484,10648,0.9822872507286887
23,529,12167,0.9921147013144779
24,576,13824,0.9980267284282716
25,625,15625,1.0
26,676,17576,0.9980267284282716
27,729,19683,0.9921147013144778
28,784,21952,0.9822872507286886
29,841,24389,0.9685831611286311
30,900,27000,0.9510565162951535
31,961,29791,0.9297764858882515
32,1024,32768,0.9048270524660195
33,1089,35937,0.8763066800438635
34,1156,39304,0.844327925502015
35,1225,42875,0.8090169943749475
36,1296,46656,0.7705132427757893
37,1369,50653,0.7289686274214114
38,1444,54872,0.6845471059286885
39,1521,59319,0.6374239897486895
40,1600,64000,0.5877852522924732
41,1681,68921,0.5358267949789967
42,1764,74088,0.4817536741017152
43,1849,79507,0.4257792915650725
44,1936,85184,0.36812455268467775
45,2025,91125,0.3090169943749471
46,2116,97336,0.24868988716485482
47,2209,103823,0.18738131458572457
48,2304,110592,0.1253332335643041
49,2401,117649,0.06279051952931314
50,2500,125000,-3.216245299353273E-16
51,2601,132651,-0.06279051952931335
52,2704,140608,-0.12533323356430429
53,2809,148877,-0.18738131458572477
54,2916,157464,-0.24868988716485502
55,3025,166375,-0.30901699437494773
56,3136,175616,-0.3681245526846783
57,3249,185193,-0.42577929156507266
58,3364,195112,-0.4817536741017154
59,3481,205379,-0.5358267949789968
60,3600,216000,-0.5877852522924734
61,3721,226981,-0.63742398974869
62,3844,238328,-0.6845471059286887
63,3969,250047,-0.7289686274214116
64,4096,262144,-0.7705132427757894
65,4225,274625,-0.8090169943749473
66,4356,287496,-0.8443279255020153
67,4489,300763,-0.8763066800438636
68,4624,314432,-0.9048270524660198
69,4761,328509,-0.9297764858882515
70,4900,343000,-0.9510565162951535
71,5041,357911,-0.9685831611286312
72,5184,373248,-0.9822872507286887
73,5329,389017,-0.9921147013144779
74,5476,405224,-0.9980267284282716
75,5625,421875,-1.0
76,5776,438976,-0.9980267284282716
77,5929,456533,-0.9921147013144779
78,6084,474552,-0.9822872507286886
79,6241,493039,-0.9685831611286311
80,6400,512000,-0.9510565162951536
81,6561,531441,-0.9297764858882512
82,6724,551368,-0.9048270524660196
83,6889,571787,-0.8763066800438634
84,7056,592704,-0.844327925502015
85,7225,614125,-0.809016994374947
86,7396,636056,-0.770513242775789
87,7569,658503,-0.7289686274214116
88,7744,681472,-0.6845471059286883
89,7921,704969,-0.6374239897486896
90,8100,729000,-0.5877852522924726
91,8281,753571,-0.5358267949789963
92,8464,778688,-0.4817536741017153
93,8649,804357,-0.4257792915650722
94,8836,830584,-0.36812455268467786
95,9025,857375,-0.3090169943749468
96,9216,884736,-0.2486898871648545
97,9409,912673,-0.18738131458572468
98,9604,941192,-0.1253332335643038
99,9801,970299,-0.06279051952931326
100,10000,1000000,6.432490598706546E-16
101,10201,1030301,0.06279051952931367
102,10404,1061208,0.12533323356430418
103,10609,1092727,0.18738131458572507
104,10816,1124864,0.24868988716485488
105,11025,1157625,0.309016994374948
106,11236,1191016,0.3681245526846782
107,11449,1225043,0.42577929156507255
108,11664,1259712,0.48175367410171566
109,11881,1295029,0.5358267949789967
110,12100,1331000,0.5877852522924736
111,12321,1367631,0.63742398974869
112,12544,1404928,0.6845471059286893
113,12769,1442897,0.7289686274214119
114,12996,1481544,0.7705132427757893
115,13225,1520875,0.8090169943749478
116,13456,1560896,0.8443279255020152
117,13689,1601613,0.8763066800438639
118,13924,1643032,0.9048270524660197
119,14161,1685159,0.9297764858882515
120,14400,1728000,0.9510565162951538
121,14641,1771561,0.9685831611286312
122,14884,1815848,0.9822872507286888
123,15129,1860867,0.9921147013144779
124,15376,1906624,0.9980267284282716
125,15625,1953125,1.0
126,15876,2000376,0.9980267284282716
127,16129,2048383,0.9921147013144778
128,16384,2097152,0.9822872507286886
129,16641,2146689,0.9685831611286311
130,16900,2197000,0.9510565162951536
131,17161,2248091,0.929776485888251
132,17424,2299968,0.9048270524660192
133,17689,2352637,0.8763066800438634
134,17956,2406104,0.8443279255020151
135,18225,2460375,0.8090169943749476
136,18496,2515456,0.7705132427757886
137,18769,2571353,0.728968627421411
138,19044,2628072,0.6845471059286884
139,19321,2685619,0.6374239897486897
140,19600,2744000,0.5877852522924734
141,19881,2803221,0.5358267949789957
142,20164,2863288,0.48175367410171466
143,20449,2924207,0.4257792915650723
144,20736,2985984,0.368124552684678
145,21025,3048625,0.3090169943749478
146,21316,3112136,0.24868988716485377
147,21609,3176523,0.18738131458572393
148,21904,3241792,0.1253332335643039
149,22201,3307949,0.06279051952931339
150,22500,3375000,3.6739403974420594E-16
151,22801,3442951,-0.06279051952931443
152,23104,3511808,-0.12533323356430492
153,23409,3581577,-0.18738131458572496
154,23716,3652264,-0.24868988716485477
155,24025,3723875,-0.30901699437494706
156,24336,3796416,-0.3681245526846789
157,24649,3869893,-0.42577929156507327
158,24964,3944312,-0.48175367410171555
159,25281,4019679,-0.5358267949789965
160,25600,4096000,-0.5877852522924728
161,25921,4173281,-0.6374239897486905
162,26244,4251528,-0.6845471059286892
163,26569,4330747,-0.7289686274214118
164,26896,4410944,-0.7705132427757891
165,27225,4492125,-0.8090169943749482
166,27556,4574296,-0.8443279255020156
167,27889,4657463,-0.8763066800438639
168,28224,4741632,-0.9048270524660197
169,28561,4826809,-0.9297764858882513
170,28900,4913000,-0.951056516295154
171,29241,5000211,-0.9685831611286314
172,29584,5088448,-0.9822872507286888
173,29929,5177717,-0.9921147013144779
174,30276,5268024,-0.9980267284282716
175,30625,5359375,-1.0
176,30976,5451776,-0.9980267284282714
177,31329,5545233,-0.9921147013144778
178,31684,5639752,-0.9822872507286886
179,32041,5735339,-0.9685831611286312
180,32400,5832000,-0.9510565162951532
181,32761,5929741,-0.929776485888251
182,33124,6028568,-0.9048270524660192
183,33489,6128487,-0.8763066800438635
184,33856,6229504,-0.8443279255020152
185,34225,6331625,-0.8090169943749467
186,34596,6434856,-0.7705132427757886
187,34969,6539203,-0.7289686274214111
